replica;tModel;sigmaIndex;nRey;nTess;nBo;nMave;selTrueModel;departTrueModel;replicated;firstTGM;numSwitches;avgContTGM;sdContTGM;changesBeforeFirstTGM;replicatedTGM;replicatedNTGM;biasBeta1
39;Y ~ X1 + X2;0.5;1;300;1;1;0.164909090909091;0.910694597574421;0.766666666666667;3174;324;11.1975308641975;9.90754747508641;433;0.714285714285714;0.782608695652174;0.103400481818182
40;Y ~ X1 + X2;0.5;1;300;1;1;0.443454545454545;0.910209102091021;0.836734693877551;2;876;11.1369863013699;10.1872380366053;1;0.896551724137931;0.75;-0.159523145454545
41;Y ~ X1 + X2;0.5;1;300;1;1;0.240454545454545;0.919092627599244;0.818181818181818;4;428;12.3598130841121;11.2001203867866;1;1;0.75;0.101045972727273
42;Y ~ X1 + X2;0.5;1;300;1;1;0.339272727272727;0.917202572347267;0.88;2;618;12.0776699029126;10.8938407360119;1;0.9;0.866666666666667;-0.203997727272727
43;Y ~ X1 + X2;0.5;1;300;1;1;0.159090909090909;0.912571428571429;0.823529411764706;131;306;11.437908496732;10.7414776900227;18;1;0.769230769230769;0.174876145454545
44;Y ~ X1 + X2;0.5;1;300;1;1;0.519909090909091;0.921126267925848;0.931034482758621;4;903;12.6526548672566;11.7626628294145;2;0.9375;0.923076923076923;0.0985573
45;Y ~ X1 + X2;0.5;1;300;1;1;0.633818181818182;0.917240390131956;0.935483870967742;6;1154;12.0831889081456;11.9807431522371;3;1;0.866666666666667;0.166128136363636
46;Y ~ X1 + X2;0.5;1;300;1;1;0.673636363636364;0.904048582995951;0.923076923076923;15;1422;10.42194092827;10.256527823199;5;0.931034482758621;0.9;-0.177150736363636
47;Y ~ X1 + X2;0.5;1;300;1;1;0.662636363636364;0.895307354555434;0.829268292682927;6;1527;9.54057591623037;8.87201426686765;2;0.857142857142857;0.769230769230769;-0.180738336363636
48;Y ~ X1 + X2;0.5;1;300;1;1;0.305545454545455;0.918476643855995;0.911764705882353;4;548;12.2664233576642;11.8802867306222;2;0.9;0.916666666666667;-0.119969081818182
49;Y ~ X1 + X2;0.5;1;300;1;1;0.302;0.913606261288381;0.972972972972973;2;574;11.5749128919861;11.0833049293395;2;1;0.95;0.0276968090909091
50;Y ~ X1 + X2;0.5;1;300;1;1;0.323727272727273;0.913788261724235;0.925;2;614;11.599348534202;10.8993793475794;1;1;0.9;-0.141645036363636
51;Y ~ X1 + X2;0.5;1;300;1;1;0.639454545454545;0.912270723730983;0.882352941176471;1;1235;11.3818770226537;10.9069942485327;1;0.947368421052632;0.8;-0.160692
52;Y ~ X1 + X2;0.5;1;300;1;1;0.488454545454545;0.917907669396873;0.926829268292683;22;883;12.1561085972851;11.0691731964716;1;1;0.88;-0.139979463636364
53;Y ~ X1 + X2;0.5;1;300;1;1;0.0507272727272727;0.935483870967742;0.827586206896552;7;72;15.5;15.5076018225164;1;1;0.814814814814815;0.134861945454545
54;Y ~ X1 + X2;0.5;1;300;1;1;0.389181818181818;0.914739546834852;0.857142857142857;14;730;11.6967213114754;11.6686368146053;2;0.916666666666667;0.826086956521739;0.122124881818182
55;Y ~ X1 + X2;0.5;1;300;1;1;0.297090909090909;0.921052631578947;0.909090909090909;2;516;12.6666666666667;14.3675127120347;1;0.888888888888889;0.916666666666667;0.158913527272727
56;Y ~ X1 + X2;0.5;1;300;1;1;0.524;0.91448395490026;0.9;19;985;11.6916835699797;11.0847745779688;2;1;0.823529411764706;0.156194009090909
57;Y ~ X1 + X2;0.5;1;300;1;1;0.654727272727273;0.872101097069851;0.8;12;1843;7.81127982646421;7.20757553947412;4;0.911764705882353;0.5625;0.189970327272727
58;Y ~ X1 + X2;0.5;1;300;1;1;0.383090909090909;0.914333175130517;0.866666666666667;1;722;11.6731301939058;11.3359591765517;1;0.846153846153846;0.882352941176471;-0.0694627909090909
59;Y ~ X1 + X2;0.5;1;300;1;1;0.277545454545455;0.917785784474288;0.911764705882353;3;502;12.1633466135458;13.181244673982;1;0.888888888888889;0.92;0.122507145454545
60;Y ~ X1 + X2;0.5;1;300;1;1;0.339909090909091;0.920566996523135;0.861111111111111;2;594;12.5892255892256;12.3082434365289;1;0.875;0.857142857142857;0.0748124727272727
61;Y ~ X1 + X2;0.5;1;300;1;1;0.174454545454545;0.918186555497655;0.837837837837838;1589;314;12.2229299363057;11.2047372800209;192;1;0.785714285714286;0.107184263636364
62;Y ~ X1 + X2;0.5;1;300;1;1;0.649363636363636;0.913889666760011;0.785714285714286;2;1231;11.5957792207792;11.0950328757412;2;0.8;0.769230769230769;0.214596572727273
63;Y ~ X1 + X2;0.5;1;300;1;1;0.622454545454545;0.918492550394391;0.864864864864865;7;1117;12.2486583184258;11.3610064182121;2;0.857142857142857;0.888888888888889;0.214149572727273
64;Y ~ X1 + X2;0.5;1;300;1;1;0.536090909090909;0.917924368322876;0.787878787878788;1;968;12.1838842975207;11.2491669162461;1;0.84;0.625;-0.0589047545454546
